true,pred,frac
1.0,1,0.7136838
0.0,0,0.37957704
0.0,0,0.5753041
0.0,0,0.41669238
0.0,0,0.42034703
1.0,1,0.7262222
0.0,0,0.33383077
1.0,0,0.516353
0.0,0,0.26491547
0.0,0,0.31594747
0.0,0,0.25855634
0.0,0,0.35685223
1.0,1,0.74304473
1.0,0,0.52158195
0.0,0,0.4899299
1.0,0,0.48814607
1.0,0,0.6134822
0.0,0,0.61998576
0.0,0,0.5151684
0.0,0,0.54851
0.0,0,0.61240864
0.0,0,0.2235652
0.0,0,0.6035932
0.0,0,0.26896447
0.0,0,0.4681161
1.0,1,1.0
1.0,1,0.99999994
1.0,0,0.3878532
0.0,0,0.20920512
0.0,0,0.16509208
0.0,1,0.6991161
1.0,0,0.65951324
0.0,0,0.19067073
1.0,0,0.28709367
1.0,0,0.59605265
0.0,0,0.18125165
0.0,0,0.54542106
1.0,1,0.87377155
0.0,1,0.86274326
0.0,0,0.15817636
0.0,0,0.39614365
0.0,0,0.12810512
0.0,0,0.59157896
1.0,1,0.858162
0.0,1,0.8636311
0.0,1,0.84333646
1.0,1,0.9725399
0.0,0,0.63692236
0.0,0,0.62880933
1.0,0,0.42085087
0.0,0,0.47652364
0.0,0,0.6354568
0.0,0,0.33766097
0.0,0,0.36301818
1.0,1,0.69289696
0.0,0,0.5406597
0.0,0,0.3538068
1.0,1,0.75043213
1.0,1,1.0
0.0,0,0.09868027
0.0,0,0.43396625
1.0,0,0.22960664
1.0,1,0.76938665
1.0,1,0.9754794
1.0,1,1.0000001
1.0,1,0.7245634
1.0,1,0.8134976
0.0,0,0.6157274
0.0,0,0.14228013
1.0,1,0.71643007
0.0,0,0.21179953
1.0,1,0.92139864
1.0,1,0.9157537
0.0,0,0.6500533
0.0,0,0.17336082
1.0,0,0.6089269
0.0,0,0.50928533
0.0,0,0.1725584
1.0,0,0.6852952
0.0,0,0.5375804
0.0,0,0.16760832
0.0,0,0.40626928
1.0,1,0.7571386
1.0,0,0.4049534
0.0,0,0.6015817
0.0,1,0.71251535
0.0,0,0.631399
1.0,1,0.87524605
0.0,1,0.89195085
0.0,0,0.026553648
0.0,0,0.07482686
1.0,1,0.7491382
1.0,1,0.8277372
0.0,0,0.49905267
0.0,0,0.29630697
0.0,0,0.13640717
1.0,0,0.267686
0.0,0,0.5923271
1.0,0,0.33035085
0.0,0,0.6208303
1.0,0,0.59523886
1.0,1,0.8124437
1.0,1,0.74060726
0.0,0,0.381396
